/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Experiment/pyflow/output/HoChiMinhTraffic_10FPS_800/timing/HoChiMinhTraffic_10FPS_800_P6.txt
Image Warp,Pyramid Construction,Total Run,[P0],[P1],[P2],[P3],[P4],[P5]
0.067860,0.167191,6.498667,2.310916,1.676834,0.970600,0.723270,0.360869,0.220946
0.070581,0.158463,6.311325,2.319215,1.616279,0.952661,0.584302,0.370264,0.239368
0.067231,0.160560,5.860799,2.251382,1.441902,0.884008,0.532312,0.316486,0.206752
0.067850,0.167285,5.851463,2.246753,1.432486,0.884708,0.529629,0.317333,0.205237
0.071517,0.181017,6.275334,2.366310,1.514608,0.996863,0.561165,0.362029,0.221637
0.072725,0.185305,6.543829,2.492127,1.555250,0.973688,0.641349,0.389949,0.233232
0.079682,0.167840,6.213912,2.266026,1.528813,0.978462,0.591754,0.372915,0.228229
0.140347,0.161686,6.502466,2.791495,1.479098,0.874567,0.530146,0.321338,0.203608
0.069177,0.197540,7.648466,2.373960,1.593521,1.852047,0.853405,0.472978,0.235564
0.071687,0.162286,6.435284,2.589150,1.568050,0.956227,0.551522,0.334992,0.201160
0.072106,0.198207,6.366697,2.369085,1.540274,0.959191,0.609402,0.381680,0.236551
0.073384,0.169492,6.235519,2.362413,1.536160,0.939065,0.560404,0.384372,0.210034
0.076568,0.172231,6.454156,2.425240,1.680959,0.964935,0.541078,0.353927,0.239019
0.075190,0.176840,6.265206,2.344321,1.506384,0.987581,0.601116,0.341802,0.231733
0.071122,0.166992,6.476659,2.465919,1.578303,0.941640,0.643252,0.376409,0.232837
0.070575,0.196991,6.195410,2.303618,1.488372,0.975248,0.579391,0.355943,0.225073
0.068984,0.164235,6.247588,2.333841,1.528224,1.003878,0.589101,0.336661,0.222481
0.072370,0.172840,6.284676,2.374652,1.558325,0.918713,0.620874,0.362408,0.204322
0.077173,0.173495,6.338765,2.385421,1.552828,0.957669,0.628270,0.349790,0.213892
0.069442,0.192894,6.229792,2.346064,1.557901,0.964554,0.557585,0.329730,0.211436
0.071958,0.162740,6.289802,2.370304,1.554735,0.961705,0.598150,0.355086,0.214939
0.074765,0.174102,6.287176,2.298213,1.472818,0.992280,0.650004,0.419603,0.205193
0.069383,0.183521,5.894086,2.248611,1.430893,0.882688,0.536553,0.317408,0.224864
0.074375,0.161612,6.074251,2.426342,1.476097,0.883462,0.535995,0.316300,0.199864
0.070623,0.169548,6.327043,2.410348,1.541252,0.957932,0.599422,0.348640,0.229089
0.071799,0.163648,6.101638,2.325049,1.536511,0.904004,0.542779,0.333935,0.223745
0.073771,0.168398,6.136254,2.359917,1.442734,0.926554,0.588108,0.358740,0.217860
0.070227,0.170181,6.342064,2.291481,1.468825,1.017218,0.710150,0.379060,0.234716
0.068559,0.164319,6.376133,2.396724,1.592812,0.992369,0.591566,0.360120,0.209468
0.072869,0.192348,6.265658,2.312279,1.492556,0.987905,0.600948,0.376282,0.230264
0.068585,0.161928,6.049755,2.271044,1.470636,0.910648,0.572916,0.368540,0.225274
0.067948,0.165626,6.026231,2.323725,1.503603,0.897144,0.540518,0.325195,0.202233
0.076961,0.160725,6.027976,2.334143,1.476673,0.910948,0.529978,0.334987,0.203375
0.071836,0.168806,6.319393,2.320857,1.535296,1.040000,0.613040,0.362518,0.206856
0.069545,0.184655,6.310238,2.392642,1.534970,0.971713,0.561521,0.355559,0.239441
0.071813,0.160876,6.271386,2.318460,1.509507,0.984350,0.607830,0.380834,0.237468
0.074645,0.171566,6.539996,2.384214,1.579227,1.054901,0.645127,0.399839,0.230235
0.072526,0.163261,6.199575,2.347201,1.518093,0.940283,0.572462,0.354892,0.230668
0.068437,0.171021,6.476597,2.331525,1.523179,0.953422,0.793387,0.402188,0.233227
0.076749,0.169012,6.189274,2.394897,1.507526,0.924875,0.576452,0.334164,0.205269
